EKOREGION;EKOREGION_Standar;S_EK
Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);2.78
Pegunungan denudasional bermaterial batuan sedimen karbonat;Pegunungan denudasional bermaterial batuan sedimen karbonat;2.78
Pegunungan denudasional bermaterial batuan sedimen non karbonat;Pegunungan denudasional bermaterial batuan sedimen non karbonat;1.73
Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;1.59
Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;1.73
Pegunungan glasial bermaterial batuan metamorfik;Pegunungan glasial bermaterial batuan metamorfik;2.56
Pegunungan glasial bermaterial batuan sedimen karbonat;Pegunungan glasial bermaterial batuan sedimen karbonat;2.56
Pegunungan kerucut vulkanik bermaterial batuan beku luar;Pegunungan kerucut vulkanik bermaterial batuan beku luar;2.68
Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;2.03
Pegunungan kerucut vulkanik bermaterial piroklastik;Pegunungan kerucut vulkanik bermaterial piroklastik;2.24
Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;1.75
Pegunungan kerucut vulkanik lereng bawah bermaterial batuan beku luar;Pegunungan kerucut vulkanik lereng bawah bermaterial batuan beku luar;2.83
Pegunungan kerucut vulkanik lereng bawah bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng bawah bermaterial campuran batuan beku luar dan piroklastik;1.78
Pegunungan kerucut vulkanik lereng bawah bermaterial piroklastik;Pegunungan kerucut vulkanik lereng bawah bermaterial piroklastik;2.2
Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng puncak bermaterial campuran batuan beku luar dan piroklastik;1.58
